,standard,akita,state
0,おはよう！,おはよえんし！,morning
1,早く起きないと遅れるよ！,ちゃっちゃど起ぎねば遅れるど！,morning
2,疲れた～。,こや～。,evening
3,眠いよ～。,ねふて～。,evening
4,眠くなってきたよぉ。,ねふてぐなってきた。,evening
5,ご飯ちゃんと食べなさいよ～。,ままちゃんとけよ～。,evening
6,お腹の具合が悪いからお茶漬け食べるね。,腹やんべわりがら湯つけままく。,evening
7,早くご飯食べようよ～。,はえぐままこで～。,evening
8,ご飯食べなさい！,ままけ！,evening
9,晩ご飯のお味噌汁はジャガイモにしようかな…,晩けのおづげっこはにどいもにすがな…,evening
10,お味噌汁腐ってきちゃった。,おづげっこあめってきた。,evening
11,きな粉餅出来たよ。,まめのごモヂ出来だど。,evening
12,全部食べちゃったの⁉︎ホント食いしん坊なんだから！,みな食ったなが⁉︎おめなばホントにいやしいごど！,evening
13,おにぎり持っていく？,にぎりまんま持ってぐが？,evening
14,寂しい～。,どぜね～。,fryday
